id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,property_type,accommodates,first_review,review_scores_value,review_scores_cleanliness,review_scores_location,review_scores_accuracy,review_scores_communication,review_scores_checkin,review_scores_rating,maximum_nights,listing_url,host_is_superhost,host_response_time,host_response_rate
49392,Rental unit in Santiago · 1 bedroom · 1 bed,224592,Maria,Providencia,-33.43277,-70.59892,Private room,47.232,3,0,,,1,178,0,Private room in rental unit,1,,,,,,,,,730,https://www.airbnb.com/rooms/49392,f,,
52811,Rental unit in Providencia · ★4.42 · 1 bedroom · 1 bed · 1 bath,244792,Cristián,Providencia,-33.42959,-70.6188,Entire home/apt,48.123,1,46,2021-11-04,0.29,3,0,0,Entire rental unit,4,2010-11-13,4.36,4.52,4.64,4.59,4.59,4.66,4.42,1825,https://www.airbnb.com/rooms/52811,f,a few days or more,0%
53494,Rental unit in Santiago · ★4.76 · 2 bedrooms · 8 beds · 2 baths,249097,Paulina,Lo Barnechea,-33.34521,-70.29543,Entire home/apt,149.999,2,38,2021-05-22,0.43,1,357,0,Entire rental unit,8,2016-06-21,4.68,4.89,4.73,4.78,4.89,4.89,4.76,730,https://www.airbnb.com/rooms/53494,f,within a day,50%
65058,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,318016,Patricio,Recoleta,-33.43049,-70.64079,Private room,53.47,2,0,,,1,0,0,Private room in rental unit,2,,,,,,,,,730,https://www.airbnb.com/rooms/65058,f,,
73752,Rental unit in Santiago · 1 bedroom · 1 bed · 3 baths,374124,Daniela&Ricardo,Santiago,-33.43865,-70.64241,Private room,71.294,3,0,,,1,0,0,Private room in rental unit,1,,,,,,,,,10,https://www.airbnb.com/rooms/73752,f,,
80482,Home in Santiago · 1 bedroom · 1 bed · 1 shared bath,154527,Jacqueline,La Florida,-33.51922,-70.59152,Private room,22.777,2,0,,,1,0,0,Private room in home,2,,,,,,,,,730,https://www.airbnb.com/rooms/80482,f,,
83677,Rental unit in Santiago · 1 bedroom · 1 bed,456388,Keno,Providencia,-33.43074,-70.59021,Entire home/apt,129.22,1,0,,,1,0,0,Entire rental unit,2,,,,,,,,,730,https://www.airbnb.com/rooms/83677,f,,
88944,"Condo in Providencia, Santiago · ★4.71 · 1 bedroom · 1 bed · 1 bath",485358,Macarena,Providencia,-33.42141,-70.60832,Entire home/apt,36.155,3,199,2023-08-27,1.37,1,306,26,Entire condo,2,2011-10-21,4.7,4.62,4.95,4.77,4.9,4.9,4.71,365,https://www.airbnb.com/rooms/88944,f,within an hour,100%
90629,Rental unit in Santiago · 1 bedroom · 3 beds,491051,Marcy-Lú,Santiago,-33.43585,-70.64098,Entire home/apt,89.117,3,0,,,1,0,0,Entire rental unit,2,,,,,,,,,730,https://www.airbnb.com/rooms/90629,f,,
90694,Rental unit in Santiago · ★4.72 · 1 bedroom · 1 bed · 1 bath,491253,Hector,Providencia,-33.42629,-70.61866,Entire home/apt,49.999,3,71,2023-08-26,0.47,2,301,9,Entire rental unit,2,2011-06-06,4.53,4.77,4.8,4.76,4.83,4.77,4.72,365,https://www.airbnb.com/rooms/90694,f,within an hour,100%
90769,Rental unit in Santiago · ★5.0 · 1 bedroom · 1 bed · 1 bath,491253,Hector,Providencia,-33.42864,-70.62178,Entire home/apt,49.999,4,12,2013-03-20,0.08,2,363,0,Entire rental unit,2,2011-05-01,4.6,5.0,4.8,5.0,5.0,5.0,5.0,365,https://www.airbnb.com/rooms/90769,f,within an hour,100%
94147,Home in Santiago · 1 bedroom · 1 bed · 1 bath,493996,Abraham,Las Condes,-33.39946,-70.54499,Private room,43.667,1,2,2011-12-07,0.01,1,365,0,Private room in home,1,2011-09-01,5.0,5.0,5.0,5.0,5.0,5.0,4.5,730,https://www.airbnb.com/rooms/94147,f,,
95139,Home in Santiago · 1 bedroom · 3 beds · 2 baths,506998,Rafael,Santiago,-33.43657,-70.67851,Private room,63.273,7,0,,,1,0,0,Private room in home,3,,,,,,,,,730,https://www.airbnb.com/rooms/95139,f,,
96722,Rental unit in Santiago · 1 bedroom · 2 beds · 1 bath,513040,Elby,Las Condes,-33.4236,-70.58372,Private room,53.47,1,0,,,1,0,0,Private room in rental unit,2,,,,,,,,,730,https://www.airbnb.com/rooms/96722,f,,
100057,Rental unit in Santiago · 1 bedroom · 1 bed,526328,Fernando,Santiago,-33.43297,-70.65815,Private room,71.294,14,2,2012-02-13,0.01,1,0,0,Private room in rental unit,2,2011-06-11,1.0,1.0,3.0,3.0,1.0,1.0,1.0,60,https://www.airbnb.com/rooms/100057,f,,
106795,Rental unit in Santiago · 1 bedroom · 1 bed · 1.5 baths,552381,Nora,Santiago,-33.43943,-70.65591,Entire home/apt,71.294,1,0,,,1,0,0,Entire rental unit,2,,,,,,,,,730,https://www.airbnb.com/rooms/106795,f,,
116494,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,588476,Antonio,Santiago,-33.43814,-70.64508,Private room,53.47,1,0,,,1,0,0,Private room in rental unit,2,,,,,,,,,730,https://www.airbnb.com/rooms/116494,f,,
119688,Rental unit in Santiago · 1 bedroom · 3 beds · 2 baths,603746,Marco,Providencia,-33.42942,-70.60583,Private room,40.103,1,0,,,1,0,0,Private room in rental unit,1,,,,,,,,,730,https://www.airbnb.com/rooms/119688,f,,
119949,Rental unit in Santiago · 1 bedroom · 1 bed · 1 shared bath,604630,Miry,Santiago,-33.44734,-70.66664,Private room,13.205,1,0,,,2,365,0,Private room in rental unit,1,,,,,,,,,730,https://www.airbnb.com/rooms/119949,f,,
122128,Rental unit in Santiago · 1 bedroom · 1 bed,612580,Juan,Providencia,-33.43971,-70.60398,Private room,66.83800000000001,1,0,,,1,0,0,Private room in rental unit,1,,,,,,,,,730,https://www.airbnb.com/rooms/122128,f,,
123569,Rental unit in Santiago · 1 bedroom · 1 bed,617378,Carolina,Santiago,-33.45014,-70.64655,Private room,49.014,1,0,,,1,0,0,Private room in rental unit,1,,,,,,,,,730,https://www.airbnb.com/rooms/123569,f,,
